Id,Question,Answer
1,"Паваротти, Каррерас, Доминго — кто из трёх теноров не испанец, а итальянец?",Паваротти
2,Когда?,Вчера
3,Зачем?,Просто
4,Сколько?,Много
5,Сколько?,Много
6,Сколько?,Много
7,Сколько?,Много
8,Сколько?,Много
9,Сколько?,Много
10,Сколько?,Много
11,Сколько?,Много
12,Сколько?,Много
13,Сколько?,Много
14,Сколько?,Много
15,Сколько?,Много
16,Сколько?,Много
17,Сколько?,Много
18,Сколько?,Много
19,Сколько?,Много
20,Сколько?,Много
21,Сколько?,Много
22,Сколько?,Много
23,Сколько?,Много
24,Сколько?,Много
25,Сколько?,Много
26,Сколько?,Много
27,Сколько?,Много
28,Сколько?,Много
29,Сколько?,Много
30,Сколько?,Много
